Quelle,QuelleAbteilung,QuelleBereich,QuelleOrganisation,QuelleRolle,Beziehung,Ziel,Datentyp,Häufigkeit,Format,Schutzbedarf,Erfassungsart,Anmerkungen,Ansprechpartner
Mitgliederverwaltung,Geschäftsstelle,Mitglieder,Beispiel für Vielfalt e. V.,Geschäftsführung,pflegt,Beitragsverwaltung,Mitgliederstammdaten,laufend,CSV,DSGVO-relevant,manuell,"Name, Anschrift und Beitragsklasse der Mitglieder",Frau Aydin (geschaeftsstelle@beispiel-verein.de)
Spendentool,Fundraising,Mittelherkunft,Beispiel für Vielfalt e. V.,Fundraising,übergibt,Buchhaltung,Spendendaten,monatlich,CSV,DSGVO-relevant,automatisiert,Einzelspenden inkl. Zuwendungsbescheinigungen,Herr Novak
Beratungsdokumentation,Fachberatung,Angebote,Beispiel für Vielfalt e. V.,Beratungsfachkraft,dokumentiert,Fallakte,Beratungsfälle,laufend,Fachanwendung,DSGVO-relevant,manuell,Freitextnotizen zu Ratsuchenden – enthält besondere Kategorien,Frau Aydin
Bewerbungsportal,Personal,Personal,Beispiel für Vielfalt e. V.,Geschäftsführung,empfängt,Personalakte,Bewerbungsunterlagen,laufend,PDF,DSGVO-relevant,manuell,Unterlagen offener Stellen,Herr Novak
Vorstandsbeschlüsse,Vorstand,Gremien,Beispiel für Vielfalt e. V.,Vorstand,erstellt,Geschäftsstelle,Beschlussprotokolle,vierteljährlich,PDF,Nicht öffentlich,manuell,Protokolle der Vorstandssitzungen – nicht zur Veröffentlichung,Vorstandsvorsitz
Ehrenamtsplanung,Freiwilligenkoordination,Ehrenamt,Beispiel für Vielfalt e. V.,Koordination,pflegt,Einsatzplanung,Ehrenamtsstunden,monatlich,XLSX,Intern,manuell,Geleistete Stunden je Einsatzbereich,Frau Berger
Projektcontrolling,Projektbüro,Förderung,Beispiel für Vielfalt e. V.,Projektleitung,übergibt,Fördermittelgeber,Verwendungsnachweise,jährlich,XLSX,Intern,manuell,Zahlenmäßiger Nachweis je Förderprojekt,Herr Novak
Wirkungsmonitoring,Projektbüro,Wirkung,Beispiel für Vielfalt e. V.,Projektleitung,erstellt,Öffentlichkeitsarbeit,Wirkungskennzahlen,halbjährlich,CSV,Öffentlich,manuell,Erreichte Personen und Angebote je Standort – aggregiert,Frau Berger
Standortverzeichnis,Öffentlichkeitsarbeit,Angebote,Beispiel für Vielfalt e. V.,Kommunikation,pflegt,Website,Standorte und Angebote,vierteljährlich,GeoJSON,Öffentlich,manuell,Adressen und Öffnungszeiten der Beratungsstellen,Frau Berger
Veranstaltungskalender,Öffentlichkeitsarbeit,Angebote,Beispiel für Vielfalt e. V.,Kommunikation,erstellt,Website,Veranstaltungstermine,monatlich,ICS,Öffentlich,automatisiert,Öffentliche Termine und Fortbildungen,Kommunikation (presse@beispiel-verein.de)
Jahresabschluss,Geschäftsstelle,Finanzen,Beispiel für Vielfalt e. V.,Geschäftsführung,erstellt,Mitgliederversammlung,Mittelverwendung,jährlich,PDF,Öffentlich,manuell,Einnahmen und Ausgaben nach Mittelherkunft,Frau Aydin
Newsletterverteiler,Öffentlichkeitsarbeit,Kommunikation,Beispiel für Vielfalt e. V.,Kommunikation,pflegt,Versanddienst,Verteilerdaten,laufend,CSV,Intern,automatisiert,E-Mail-Adressen der Abonnentinnen und Abonnenten,Kommunikation
