Quelle,QuelleAbteilung,QuelleBereich,QuelleOrganisation,QuelleRolle,Beziehung,Ziel,Datentyp,Häufigkeit,Format,Schutzbedarf,Erfassungsart,Anmerkungen,Ansprechpartner
Bevölkerungsstatistik,Statistisches Landesamt,Statistik,Land Musterland,Referentin,erstellt,Open-Data-Portal,Bevölkerungsfortschreibung,vierteljährlich,CSV,Öffentlich,automatisiert,Bevölkerungsstand nach Gemeinde und Altersgruppe,Frau Ahrens (statistik@musterland.de)
Luftmessnetz,Landesamt für Umwelt,Umwelt,Land Musterland,Messnetzbetreuer,erstellt,Open-Data-Portal,Luftmessdaten,täglich,JSON,Öffentlich,automatisiert,Stundenwerte aller Messstationen (Feinstaub, NO2, Ozon),Herr Timm (umweltdaten@musterland.de)
Gewässerüberwachung,Landesamt für Umwelt,Umwelt,Land Musterland,Fachreferentin,erstellt,Umweltportal,Gewässergütedaten,monatlich,CSV,Öffentlich,automatisiert,Messwerte der Oberflächengewässer nach WRRL,Herr Timm
Geobasisdatenbestand,Landesamt für Vermessung,Geodaten,Land Musterland,GIS-Koordinatorin,übergibt,Geodateninfrastruktur,Geobasisdaten,jährlich,GeoJSON,Öffentlich,automatisiert,Topographische Basisdaten nach INSPIRE,Frau Deichmann (geobasis@musterland.de)
Bezügeverfahren,Landesamt für Besoldung,Interne Verwaltung,Land Musterland,Administrator,verarbeitet,Lohnstelle,Personal- und Bezügedaten,monatlich,XLSX,DSGVO-relevant,automatisiert,Bezügedaten aller Landesbediensteten,Frau Wenzel
Kriminalstatistik-System,Landeskriminalamt,Sicherheit,Land Musterland,Analyst,erstellt,Innenministerium,Kriminalstatistik (Rohdaten),jährlich,CSV,Nicht öffentlich,automatisiert,Rohdatenbestand vor Aggregation; nur die Auswertung wird veröffentlicht,Herr Bauer
Verkehrszählstellen,Landesbetrieb Straßenwesen,Mobilität,Land Musterland,Verkehrsplanerin,erstellt,Open-Data-Portal,Verkehrszählung,monatlich,CSV,Öffentlich,automatisiert,Dauerzählstellen an Landes- und Bundesstraßen,Frau Ricken (verkehr@musterland.de)
Meldewesen Gesundheit,Landesamt für Gesundheit,Gesundheit,Land Musterland,Epidemiologe,verarbeitet,Robert Koch-Institut,Meldepflichtige Erkrankungen,wöchentlich,XML,DSGVO-relevant,automatisiert,Einzelfallmeldungen der Gesundheitsämter,Frau Dr. Sommer
Archivdatenbank,Landesarchiv,Kultur,Land Musterland,Archivarin,erstellt,Archivportal,Findbücher,laufend,XML,Öffentlich,manuell,Erschließungsdaten der Bestände,Herr Kranz (archiv@musterland.de)
Denkmalinformationssystem,Landesamt für Denkmalpflege,Kultur,Land Musterland,Fachreferentin,erstellt,Geoportal,Denkmalliste,vierteljährlich,GeoJSON,Öffentlich,manuell,Bau- und Bodendenkmale mit Lage und Schutzstatus,Frau Otto
Förderdatenbank,Förderbank des Landes,Wirtschaft,Land Musterland,Sachbearbeiter,verarbeitet,Wirtschaftsministerium,Fördermittelvergabe,vierteljährlich,XLSX,Intern,manuell,Bewilligungen je Programm; Empfängerangaben teils personenbezogen,Herr Nowak
Prüfungsverwaltung,Landesprüfungsamt,Bildung,Land Musterland,Sachbearbeiterin,verarbeitet,Kultusministerium,Prüfungsergebnisse,jährlich,CSV,DSGVO-relevant,manuell,Einzelergebnisse der Staatsprüfungen,Frau Engel
