Quelle,QuelleAbteilung,QuelleBereich,QuelleOrganisation,QuelleRolle,Beziehung,Ziel,Datentyp,Häufigkeit,Format,Schutzbedarf,Erfassungsart,Anmerkungen,Ansprechpartner
Meldesystem Infektionsschutz,Gesundheitsamt,Gesundheit,Landkreis Musterland,Amtsärztin,übergibt,Landesgesundheitsamt,Infektionsmeldungen,täglich,XML,DSGVO-relevant,automatisiert,"Meldepflichtige Erkrankungen nach IfSG, personenbezogen",Frau Dr. Keller (gesundheitsamt@musterland.de)
Tierseuchennachweissystem,Veterinäramt,Verbraucherschutz,Landkreis Musterland,Amtstierarzt,verarbeitet,Landesamt für Verbraucherschutz,Tierseuchenkontrollen,wöchentlich,CSV,Intern,manuell,Kontrollergebnisse in Tierhaltungsbetrieben,Herr Dr. Ohlsen
Zulassungsregister,Straßenverkehrsamt,Mobilität,Landkreis Musterland,Sachbearbeiterin,erstellt,Open-Data-Portal,Kfz-Zulassungsstatistik,monatlich,CSV,Öffentlich,automatisiert,Aggregierte Zulassungszahlen nach Antriebsart,Frau Petersen (opendata@musterland.de)
Fachverfahren Grundsicherung,Jobcenter,Soziales,Landkreis Musterland,Teamleitung,verarbeitet,Sozialplanung,Leistungsdaten SGB II,monatlich,XLSX,DSGVO-relevant,automatisiert,"Bedarfsgemeinschaften mit Namen, Adressen und Leistungshöhe",Herr Radtke
Liegenschaftskataster,Katasteramt,Geodaten,Landkreis Musterland,Vermessungsingenieurin,erstellt,Geoportal,Liegenschaftskarte,vierteljährlich,GeoJSON,Öffentlich,automatisiert,Flurstücke und Gebäudeumringe ohne Eigentümerangaben,Frau Sandmann (geodaten@musterland.de)
Schulverwaltungssystem,Schulverwaltungsamt,Bildung,Landkreis Musterland,Sachbearbeiter,übergibt,Schulentwicklungsplanung,Schülerzahlen,jährlich,XLSX,Intern,manuell,Klassenstärken je Schule und Jahrgang,Herr Wieland
Abfallwirtschaftssystem,Abfallwirtschaftsbetrieb,Entsorgung,Landkreis Musterland,Betriebsleiter,erstellt,Open-Data-Portal,Abfallmengenbilanz,jährlich,CSV,Öffentlich,automatisiert,Aufkommen je Abfallart und Gemeinde,Frau Hübner (abfall@musterland.de)
Schutzgebietskataster,Untere Naturschutzbehörde,Umwelt,Landkreis Musterland,Fachreferentin,erstellt,Geoportal,Schutzgebiete,laufend,GeoJSON,Öffentlich,manuell,Naturschutz- und Landschaftsschutzgebiete mit Verordnungstexten,Frau Sandmann
Wahlauswertung,Kreiswahlleitung,Gremien,Landkreis Musterland,Wahlleiter,erstellt,Open-Data-Portal,Wahlergebnisse,laufend,JSON,Öffentlich,automatisiert,Ergebnisse je Wahlbezirk seit 2014,Herr Radtke
Pflegeplanungssystem,Sozialamt,Soziales,Landkreis Musterland,Planerin,verarbeitet,Sozialplanung,Pflegebedarfsplanung,jährlich,XLSX,DSGVO-relevant,manuell,Enthält Einzelfalldaten aus der Hilfe zur Pflege,Frau Kowalski
Einsatzleitsystem,Rettungsdienst,Gefahrenabwehr,Landkreis Musterland,Disponentin,erstellt,Qualitätsmanagement,Einsatzstatistik,monatlich,CSV,Intern,automatisiert,Einsatzzahlen und Hilfsfristen je Rettungswache,Herr Brenner
Bauaufsichtsverfahren,Bauaufsichtsamt,Bauen,Landkreis Musterland,Sachbearbeiter,verarbeitet,Bauakte,Baugenehmigungen,laufend,PDF,Nicht öffentlich,manuell,Verfahrensakten mit Bauherrendaten und Gutachten,Frau Lorenz
